ID,Year,Month,Day,Tsunami_Event,Earthquake_Event,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage ,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description
89,1615,3,,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,,0,,0,,0,,0,2,0,2,0,0,0,0,0,0,0,2,0,2
90,1617,,,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,1625,9,2,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,5,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,1629,,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,2,F,4,1,0,,0,,0,0,0,0,4,1,0,0,0,0,0,0,0,
93,1630,9,3,,,Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,4,"M,T",200,3,0,,0,,0,0,0,0,200,3,0,0,0,0,0,0,0,
94,1631,2,14,,920,Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,,S,50,1,0,,0,,0,2,0,0,50,1,0,0,0,0,0,2,0,
95,1631,12,16,3129,9756,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,E,M",4000,4,0,,0,,0,4,0,4,4000,4,0,0,0,0,0,4,0,4
96,1636,5,15,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
97,1638,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,4,M,1001,4,0,,0,,0,0,0,0,1001,4,0,0,0,0,0,0,0,
98,1640,7,31,253,942,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,5,W,0,,0,,0,,0,0,0,0,700,3,0,0,0,0,0,1,20,1
99,1640,,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,P,5000,4,0,,0,,0,0,0,4,5000,4,0,0,0,0,0,0,0,4
100,1646,7,19,5754,10519,Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,P,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
101,1650,9,26,269,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,4,"G,W,T",120,3,0,,0,,0,1,0,0,120,3,0,0,0,0,0,1,0,
102,1659,9,30,,6879,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,3,S,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,1659,11,11,285,,Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,4,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,1660,2,,,,Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,4,"G,T",3,1,0,,0,,0,0,0,0,3,1,0,0,0,0,0,0,0,
105,1660,11,3,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
106,1660,,,5482,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,"T,P,W,I",2000,4,0,,0,,0,3,0,3,2000,4,0,0,0,0,0,3,0,3
107,1663,8,16,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,5,"T,P",5,1,0,,0,,0,0,0,0,5,1,0,0,0,0,0,0,0,
108,1664,4,15,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,2,m,30,1,0,,0,,0,0,0,0,30,1,0,0,0,0,0,0,0,
109,1664,,,293,,Iwo-Tori-shima,Ryukyu Is,Japan,27.85,128.25,217,Complex volcano,,A,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,1,0,1
110,1669,3,11,,1057,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
111,1669,3,19,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,L,2,1,0,,5,1,0,0,0,0,2,1,0,0,5,1,0,0,0,
